"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.09.2023","189,46","189,49","189,92","188,28","45,77M","0,85%"
"31.08.2023","187,87","187,84","189,12","187,48","60,21M","0,12%"
"30.08.2023","187,65","184,94","187,85","184,74","60,59M","1,92%"
"29.08.2023","184,12","179,70","184,90","179,50","52,36M","2,18%"
"28.08.2023","180,19","180,09","180,59","178,54","42,71M","0,88%"
"25.08.2023","178,61","177,38","179,15","175,82","51,45M","1,26%"
"24.08.2023","176,38","180,67","181,10","176,01","53,22M","-2,62%"
"23.08.2023","181,12","178,52","181,55","178,32","51,47M","2,19%"
"22.08.2023","177,23","177,06","177,68","176,25","41,38M","0,79%"
"21.08.2023","175,84","175,07","176,13","173,74","44,99M","0,77%"
"18.08.2023","174,49","172,30","175,10","171,96","61,17M","0,28%"
"17.08.2023","174,00","177,14","177,51","173,48","61,25M","-1,46%"
"16.08.2023","176,57","177,13","178,54","176,50","45,60M","-0,50%"
"15.08.2023","177,45","178,88","179,48","177,05","43,37M","-1,12%"
"14.08.2023","179,46","177,97","179,69","177,30","43,68M","0,94%"
"11.08.2023","177,79","177,32","178,62","176,55","52,04M","-0,10%"
"10.08.2023","177,97","179,48","180,75","177,60","52,60M","-0,12%"
"09.08.2023","178,19","180,87","180,93","177,01","57,80M","-0,90%"
"08.08.2023","179,80","179,69","180,27","177,58","67,60M","0,53%"
"07.08.2023","178,85","182,13","183,13","177,35","97,58M","-1,73%"
"04.08.2023","181,99","185,52","187,38","181,92","115,96M","-4,80%"
"03.08.2023","191,17","191,57","192,37","190,69","52,60M","-0,73%"